name,from,to,departure,fare_sl,fare_1ac,fare_2ac,fare_3ac
Teesta Express 2817,Kharagpur Junction,Bankura Junction,15:07,426,1549,172,783
Rajdhani Regional Express 2818,Kharagpur Junction,Bankura Junction,16:42,438,1591,177,804
East Corridor Express 2819,Kharagpur Junction,Bankura Junction,18:17,450,1632,182,825
Jan Seva Express 2820,Kharagpur Junction,Bankura Junction,19:52,462,1673,186,847
Eastern India Express 2821,Kharagpur Junction,Katwa Junction,08:25,189,732,80,366
Ganga Valley Express 2822,Kharagpur Junction,Katwa Junction,10:00,201,773,85,387
North Bengal Express 2823,Kharagpur Junction,Katwa Junction,11:35,213,814,90,407
Kolkata Intercity Express 2824,Kharagpur Junction,Katwa Junction,13:10,225,856,94,429
Bihar Bengal Express 2825,Kharagpur Junction,Katwa Junction,14:45,237,897,99,450
Sundarban Express 2826,Kharagpur Junction,Katwa Junction,16:20,249,939,104,471
Teesta Express 2827,Kharagpur Junction,Katwa Junction,17:55,261,980,108,493
Rajdhani Regional Express 2828,Kharagpur Junction,Katwa Junction,19:30,273,1021,113,513
East Corridor Express 2829,Kharagpur Junction,Katwa Junction,21:05,285,1063,118,534
Jan Seva Express 2830,Kharagpur Junction,Katwa Junction,22:40,297,1104,122,556
Eastern India Express 2831,Kharagpur Junction,Hijli,11:06,448,1625,181,822
Ganga Valley Express 2832,Kharagpur Junction,Hijli,12:41,460,1667,186,843
North Bengal Express 2833,Kharagpur Junction,Hijli,14:16,472,1708,190,864
Kolkata Intercity Express 2834,Kharagpur Junction,Hijli,15:51,484,1749,195,885
Bihar Bengal Express 2835,Kharagpur Junction,Hijli,17:26,496,1791,199,907
Sundarban Express 2836,Kharagpur Junction,Hijli,19:01,508,1832,204,928
Teesta Express 2837,Kharagpur Junction,Hijli,20:36,520,1874,209,949
Rajdhani Regional Express 2838,Kharagpur Junction,Hijli,22:11,532,1915,213,970
East Corridor Express 2839,Kharagpur Junction,Hijli,23:46,544,1956,218,991
Jan Seva Express 2840,Kharagpur Junction,Hijli,01:21,556,1998,223,1012
Eastern India Express 2841,Kharagpur Junction,Purulia Junction,14:07,340,1253,139,632
Ganga Valley Express 2842,Kharagpur Junction,Purulia Junction,15:42,352,1294,144,652
North Bengal Express 2843,Kharagpur Junction,Purulia Junction,17:17,364,1335,148,674
Kolkata Intercity Express 2844,Kharagpur Junction,Purulia Junction,18:52,376,1377,153,695
Bihar Bengal Express 2845,Kharagpur Junction,Purulia Junction,20:27,388,1418,158,716
Sundarban Express 2846,Kharagpur Junction,Purulia Junction,22:02,400,1460,162,738
Teesta Express 2847,Kharagpur Junction,Purulia Junction,23:37,412,1501,167,758
Rajdhani Regional Express 2848,Kharagpur Junction,Purulia Junction,01:12,424,1542,171,780
East Corridor Express 2849,Kharagpur Junction,Purulia Junction,02:47,436,1584,176,801
Jan Seva Express 2850,Kharagpur Junction,Purulia Junction,04:22,448,1625,181,822
Eastern India Express 2851,Kharagpur Junction,Dankuni Junction,16:57,366,1342,149,677
Ganga Valley Express 2852,Kharagpur Junction,Dankuni Junction,18:32,378,1384,154,698
North Bengal Express 2853,Kharagpur Junction,Dankuni Junction,20:07,390,1425,158,720
Kolkata Intercity Express 2854,Kharagpur Junction,Dankuni Junction,21:42,402,1466,163,741
Bihar Bengal Express 2855,Kharagpur Junction,Dankuni Junction,23:17,414,1508,168,762
Sundarban Express 2856,Kharagpur Junction,Dankuni Junction,00:52,426,1549,172,783
Teesta Express 2857,Kharagpur Junction,Dankuni Junction,02:27,438,1591,177,804
Rajdhani Regional Express 2858,Kharagpur Junction,Dankuni Junction,04:02,450,1632,182,825
East Corridor Express 2859,Kharagpur Junction,Dankuni Junction,05:37,462,1673,186,847
Jan Seva Express 2860,Kharagpur Junction,Dankuni Junction,07:12,474,1715,191,868
Eastern India Express 2861,Kharagpur Junction,Chittaranjan,19:43,522,1880,210,952
Ganga Valley Express 2862,Kharagpur Junction,Chittaranjan,21:18,534,1922,214,974
North Bengal Express 2863,Kharagpur Junction,Chittaranjan,22:53,546,1963,219,994
Kolkata Intercity Express 2864,Kharagpur Junction,Chittaranjan,00:28,558,2005,223,1016
Bihar Bengal Express 2865,Kharagpur Junction,Chittaranjan,02:03,570,2046,228,1037
Sundarban Express 2866,Kharagpur Junction,Chittaranjan,03:38,582,2087,233,1058
Teesta Express 2867,Kharagpur Junction,Chittaranjan,05:13,594,2129,237,1080
Rajdhani Regional Express 2868,Kharagpur Junction,Chittaranjan,06:48,606,2170,242,1100
East Corridor Express 2869,Kharagpur Junction,Chittaranjan,08:23,618,2212,247,1121
Jan Seva Express 2870,Kharagpur Junction,Chittaranjan,09:58,630,2253,251,1143
Eastern India Express 2871,Kharagpur Junction,Siliguri Junction,22:38,359,1318,146,665
Ganga Valley Express 2872,Kharagpur Junction,Siliguri Junction,00:13,371,1359,151,686
North Bengal Express 2873,Kharagpur Junction,Siliguri Junction,01:48,383,1401,156,707
Kolkata Intercity Express 2874,Kharagpur Junction,Siliguri Junction,03:23,395,1442,160,729
Bihar Bengal Express 2875,Kharagpur Junction,Siliguri Junction,04:58,407,1484,165,750
Sundarban Express 2876,Kharagpur Junction,Siliguri Junction,06:33,419,1525,170,770
Teesta Express 2877,Kharagpur Junction,Siliguri Junction,08:08,431,1566,174,792
Rajdhani Regional Express 2878,Kharagpur Junction,Siliguri Junction,09:43,443,1608,179,813
East Corridor Express 2879,Kharagpur Junction,Siliguri Junction,11:18,455,1649,184,834
Jan Seva Express 2880,Kharagpur Junction,Siliguri Junction,12:53,467,1691,188,856
Eastern India Express 2881,Kharagpur Junction,Ranaghat Junction,01:28,227,863,95,433
Ganga Valley Express 2882,Kharagpur Junction,Ranaghat Junction,03:03,239,904,100,453
North Bengal Express 2883,Kharagpur Junction,Ranaghat Junction,04:38,251,945,104,475
Kolkata Intercity Express 2884,Kharagpur Junction,Ranaghat Junction,06:13,263,987,109,496
Bihar Bengal Express 2885,Kharagpur Junction,Ranaghat Junction,07:48,275,1028,114,517
Sundarban Express 2886,Kharagpur Junction,Ranaghat Junction,09:23,287,1070,118,539
Teesta Express 2887,Kharagpur Junction,Ranaghat Junction,10:58,299,1111,123,559
Rajdhani Regional Express 2888,Kharagpur Junction,Ranaghat Junction,12:33,311,1152,128,580
East Corridor Express 2889,Kharagpur Junction,Ranaghat Junction,14:08,323,1194,132,602
Jan Seva Express 2890,Kharagpur Junction,Ranaghat Junction,15:43,335,1235,137,623
Eastern India Express 2891,Kharagpur Junction,Andal Junction,04:15,249,939,104,471
Ganga Valley Express 2892,Kharagpur Junction,Andal Junction,05:50,261,980,108,493
North Bengal Express 2893,Kharagpur Junction,Andal Junction,07:25,273,1021,113,513
Kolkata Intercity Express 2894,Kharagpur Junction,Andal Junction,09:00,285,1063,118,534
Bihar Bengal Express 2895,Kharagpur Junction,Andal Junction,10:35,297,1104,122,556
Sundarban Express 2896,Kharagpur Junction,Andal Junction,12:10,309,1146,127,577
Teesta Express 2897,Kharagpur Junction,Andal Junction,13:45,321,1187,132,598
Rajdhani Regional Express 2898,Kharagpur Junction,Andal Junction,15:20,333,1228,136,619
East Corridor Express 2899,Kharagpur Junction,Andal Junction,16:55,345,1270,141,640
Jan Seva Express 2900,Kharagpur Junction,Andal Junction,18:30,357,1311,146,661
Eastern India Express 2901,Kharagpur Junction,Krishnanagar City Junction,07:17,471,1704,190,862
Ganga Valley Express 2902,Kharagpur Junction,Krishnanagar City Junction,08:52,483,1746,194,884
North Bengal Express 2903,Kharagpur Junction,Krishnanagar City Junction,10:27,495,1787,199,905
Kolkata Intercity Express 2904,Kharagpur Junction,Krishnanagar City Junction,12:02,507,1829,204,926
Bihar Bengal Express 2905,Kharagpur Junction,Krishnanagar City Junction,13:37,519,1870,208,947
Sundarban Express 2906,Kharagpur Junction,Krishnanagar City Junction,15:12,531,1911,213,968
Teesta Express 2907,Kharagpur Junction,Krishnanagar City Junction,16:47,543,1953,218,989
Rajdhani Regional Express 2908,Kharagpur Junction,Krishnanagar City Junction,18:22,555,1994,222,1011
East Corridor Express 2909,Kharagpur Junction,Krishnanagar City Junction,19:57,567,2036,227,1032
Jan Seva Express 2910,Kharagpur Junction,Krishnanagar City Junction,21:32,579,2077,232,1052
Eastern India Express 2911,Kharagpur Junction,Digha,09:46,297,1104,122,556
Ganga Valley Express 2912,Kharagpur Junction,Digha,11:21,309,1146,127,577
North Bengal Express 2913,Kharagpur Junction,Digha,12:56,321,1187,132,598
Kolkata Intercity Express 2914,Kharagpur Junction,Digha,14:31,333,1228,136,619
Bihar Bengal Express 2915,Kharagpur Junction,Digha,16:06,345,1270,141,640
Sundarban Express 2916,Kharagpur Junction,Digha,17:41,357,1311,146,661
Teesta Express 2917,Kharagpur Junction,Digha,19:16,369,1353,150,683
Rajdhani Regional Express 2918,Kharagpur Junction,Digha,20:51,381,1394,155,704
East Corridor Express 2919,Kharagpur Junction,Digha,22:26,393,1435,159,725
Jan Seva Express 2920,Kharagpur Junction,Digha,00:01,405,1477,164,746
Eastern India Express 2921,Kharagpur Junction,Shalimar,12:39,125,511,56,252
Ganga Valley Express 2922,Kharagpur Junction,Shalimar,14:14,137,552,60,274
North Bengal Express 2923,Kharagpur Junction,Shalimar,15:49,149,594,65,295
Kolkata Intercity Express 2924,Kharagpur Junction,Shalimar,17:24,161,635,70,316
Bihar Bengal Express 2925,Kharagpur Junction,Shalimar,18:59,173,676,74,337
Sundarban Express 2926,Kharagpur Junction,Shalimar,20:34,185,718,79,358
Teesta Express 2927,Kharagpur Junction,Shalimar,22:09,197,759,83,380
Rajdhani Regional Express 2928,Kharagpur Junction,Shalimar,23:44,209,801,88,401
East Corridor Express 2929,Kharagpur Junction,Shalimar,01:19,221,842,93,422
Jan Seva Express 2930,Kharagpur Junction,Shalimar,02:54,233,883,97,443
Eastern India Express 2931,Kharagpur Junction,Midnapore,15:30,454,1646,183,833
Ganga Valley Express 2932,Kharagpur Junction,Midnapore,17:05,466,1687,188,853
North Bengal Express 2933,Kharagpur Junction,Midnapore,18:40,478,1729,192,875
Kolkata Intercity Express 2934,Kharagpur Junction,Midnapore,20:15,490,1770,197,896
Bihar Bengal Express 2935,Kharagpur Junction,Midnapore,21:50,502,1811,202,917
Sundarban Express 2936,Kharagpur Junction,Midnapore,23:25,514,1853,206,939
Teesta Express 2937,Kharagpur Junction,Midnapore,01:00,526,1894,211,959
Rajdhani Regional Express 2938,Kharagpur Junction,Midnapore,02:35,538,1936,216,980
East Corridor Express 2939,Kharagpur Junction,Midnapore,04:10,550,1977,220,1002
Jan Seva Express 2940,Kharagpur Junction,Midnapore,05:45,562,2018,225,1023
Eastern India Express 2941,Kharagpur Junction,Berhampore Court,18:27,450,1632,182,825
Ganga Valley Express 2942,Kharagpur Junction,Berhampore Court,20:02,462,1673,186,847
North Bengal Express 2943,Kharagpur Junction,Berhampore Court,21:37,474,1715,191,868
Kolkata Intercity Express 2944,Kharagpur Junction,Berhampore Court,23:12,486,1756,195,889
Bihar Bengal Express 2945,Kharagpur Junction,Berhampore Court,00:47,498,1798,200,910
Sundarban Express 2946,Kharagpur Junction,Berhampore Court,02:22,510,1839,205,931
Teesta Express 2947,Kharagpur Junction,Berhampore Court,03:57,522,1880,210,952
Rajdhani Regional Express 2948,Kharagpur Junction,Berhampore Court,05:32,534,1922,214,974
East Corridor Express 2949,Kharagpur Junction,Berhampore Court,07:07,546,1963,219,994
Jan Seva Express 2950,Kharagpur Junction,Berhampore Court,08:42,558,2005,223,1016
Eastern India Express 2951,Kharagpur Junction,Naihati Junction,21:17,289,1077,119,542
Ganga Valley Express 2952,Kharagpur Junction,Naihati Junction,22:52,301,1118,124,563
North Bengal Express 2953,Kharagpur Junction,Naihati Junction,00:27,313,1159,128,584
Kolkata Intercity Express 2954,Kharagpur Junction,Naihati Junction,02:02,325,1201,133,605
Bihar Bengal Express 2955,Kharagpur Junction,Naihati Junction,03:37,337,1242,138,626
Sundarban Express 2956,Kharagpur Junction,Naihati Junction,05:12,349,1284,142,648
Teesta Express 2957,Kharagpur Junction,Naihati Junction,06:47,361,1325,147,669
Rajdhani Regional Express 2958,Kharagpur Junction,Naihati Junction,08:22,373,1366,152,689
East Corridor Express 2959,Kharagpur Junction,Naihati Junction,09:57,385,1408,156,711
Jan Seva Express 2960,Kharagpur Junction,Naihati Junction,11:32,397,1449,161,732
Eastern India Express 2961,Kharagpur Junction,Patna Junction,00:05,494,1784,199,903
Ganga Valley Express 2962,Kharagpur Junction,Patna Junction,01:40,506,1825,203,924
North Bengal Express 2963,Kharagpur Junction,Patna Junction,03:15,518,1867,208,945
Kolkata Intercity Express 2964,Kharagpur Junction,Patna Junction,04:50,530,1908,213,966
Bihar Bengal Express 2965,Kharagpur Junction,Patna Junction,06:25,542,1949,217,988
Sundarban Express 2966,Kharagpur Junction,Patna Junction,08:00,554,1991,222,1009
Teesta Express 2967,Kharagpur Junction,Patna Junction,09:35,566,2032,226,1030
Rajdhani Regional Express 2968,Kharagpur Junction,Patna Junction,11:10,578,2074,231,1051
East Corridor Express 2969,Kharagpur Junction,Patna Junction,12:45,590,2115,236,1072
Jan Seva Express 2970,Kharagpur Junction,Patna Junction,14:20,602,2156,241,1093
Eastern India Express 2971,Kharagpur Junction,Danapur,02:48,349,1284,142,648
Ganga Valley Express 2972,Kharagpur Junction,Danapur,04:23,361,1325,147,669
North Bengal Express 2973,Kharagpur Junction,Danapur,05:58,373,1366,152,689
Kolkata Intercity Express 2974,Kharagpur Junction,Danapur,07:33,385,1408,156,711
Bihar Bengal Express 2975,Kharagpur Junction,Danapur,09:08,397,1449,161,732
Sundarban Express 2976,Kharagpur Junction,Danapur,10:43,409,1491,166,753
Teesta Express 2977,Kharagpur Junction,Danapur,12:18,421,1532,170,775
Rajdhani Regional Express 2978,Kharagpur Junction,Danapur,13:53,433,1573,175,795
East Corridor Express 2979,Kharagpur Junction,Danapur,15:28,445,1615,180,816
Jan Seva Express 2980,Kharagpur Junction,Danapur,17:03,457,1656,184,838
Eastern India Express 2981,Kharagpur Junction,Muzaffarpur Junction,05:51,269,1008,111,507
Ganga Valley Express 2982,Kharagpur Junction,Muzaffarpur Junction,07:26,281,1049,116,528
North Bengal Express 2983,Kharagpur Junction,Muzaffarpur Junction,09:01,293,1090,121,548
Kolkata Intercity Express 2984,Kharagpur Junction,Muzaffarpur Junction,10:36,305,1132,125,570
Bihar Bengal Express 2985,Kharagpur Junction,Muzaffarpur Junction,12:11,317,1173,130,591
Sundarban Express 2986,Kharagpur Junction,Muzaffarpur Junction,13:46,329,1215,135,612
Teesta Express 2987,Kharagpur Junction,Muzaffarpur Junction,15:21,341,1256,139,634
Rajdhani Regional Express 2988,Kharagpur Junction,Muzaffarpur Junction,16:56,353,1297,144,654
East Corridor Express 2989,Kharagpur Junction,Muzaffarpur Junction,18:31,365,1339,149,675
Jan Seva Express 2990,Kharagpur Junction,Muzaffarpur Junction,20:06,377,1380,153,697
Eastern India Express 2991,Kharagpur Junction,Gaya Junction,08:34,340,1253,139,632
Ganga Valley Express 2992,Kharagpur Junction,Gaya Junction,10:09,352,1294,144,652
North Bengal Express 2993,Kharagpur Junction,Gaya Junction,11:44,364,1335,148,674
Kolkata Intercity Express 2994,Kharagpur Junction,Gaya Junction,13:19,376,1377,153,695
Bihar Bengal Express 2995,Kharagpur Junction,Gaya Junction,14:54,388,1418,158,716
Sundarban Express 2996,Kharagpur Junction,Gaya Junction,16:29,400,1460,162,738
Teesta Express 2997,Kharagpur Junction,Gaya Junction,18:04,412,1501,167,758
Rajdhani Regional Express 2998,Kharagpur Junction,Gaya Junction,19:39,424,1542,171,780
East Corridor Express 2999,Kharagpur Junction,Gaya Junction,21:14,436,1584,176,801
Jan Seva Express 3000,Kharagpur Junction,Gaya Junction,22:49,448,1625,181,822
Eastern India Express 3001,Kharagpur Junction,Bhagalpur Junction,11:29,425,1546,172,781
Ganga Valley Express 3002,Kharagpur Junction,Bhagalpur Junction,13:04,437,1587,177,802
North Bengal Express 3003,Kharagpur Junction,Bhagalpur Junction,14:39,449,1629,181,824
Kolkata Intercity Express 3004,Kharagpur Junction,Bhagalpur Junction,16:14,461,1670,186,845
Bihar Bengal Express 3005,Kharagpur Junction,Bhagalpur Junction,17:49,473,1711,190,866
Sundarban Express 3006,Kharagpur Junction,Bhagalpur Junction,19:24,485,1753,195,887
Teesta Express 3007,Kharagpur Junction,Bhagalpur Junction,20:59,497,1794,200,908
Rajdhani Regional Express 3008,Kharagpur Junction,Bhagalpur Junction,22:34,509,1836,204,930
East Corridor Express 3009,Kharagpur Junction,Bhagalpur Junction,00:09,521,1877,209,951
Jan Seva Express 3010,Kharagpur Junction,Bhagalpur Junction,01:44,533,1918,214,971
Eastern India Express 3011,Kharagpur Junction,Darbhanga Junction,14:19,259,973,107,489
Ganga Valley Express 3012,Kharagpur Junction,Darbhanga Junction,15:54,271,1014,112,510
North Bengal Express 3013,Kharagpur Junction,Darbhanga Junction,17:29,283,1056,117,531
Kolkata Intercity Express 3014,Kharagpur Junction,Darbhanga Junction,19:04,295,1097,122,552
Bihar Bengal Express 3015,Kharagpur Junction,Darbhanga Junction,20:39,307,1139,126,574
Sundarban Express 3016,Kharagpur Junction,Darbhanga Junction,22:14,319,1180,131,594
Teesta Express 3017,Kharagpur Junction,Darbhanga Junction,23:49,331,1221,135,616
Rajdhani Regional Express 3018,Kharagpur Junction,Darbhanga Junction,01:24,343,1263,140,637
East Corridor Express 3019,Kharagpur Junction,Darbhanga Junction,02:59,355,1304,145,658
Jan Seva Express 3020,Kharagpur Junction,Darbhanga Junction,04:34,367,1346,149,680
Eastern India Express 3021,Kharagpur Junction,Samastipur Junction,17:10,161,635,70,316
Ganga Valley Express 3022,Kharagpur Junction,Samastipur Junction,18:45,173,676,74,337
North Bengal Express 3023,Kharagpur Junction,Samastipur Junction,20:20,185,718,79,358
Kolkata Intercity Express 3024,Kharagpur Junction,Samastipur Junction,21:55,197,759,83,380
Bihar Bengal Express 3025,Kharagpur Junction,Samastipur Junction,23:30,209,801,88,401
Sundarban Express 3026,Kharagpur Junction,Samastipur Junction,01:05,221,842,93,422
Teesta Express 3027,Kharagpur Junction,Samastipur Junction,02:40,233,883,97,443
Rajdhani Regional Express 3028,Kharagpur Junction,Samastipur Junction,04:15,245,925,102,464
East Corridor Express 3029,Kharagpur Junction,Samastipur Junction,05:50,257,966,107,485
Jan Seva Express 3030,Kharagpur Junction,Samastipur Junction,07:25,269,1008,111,507
Eastern India Express 3031,Kharagpur Junction,Barauni Junction,19:57,559,2008,224,1017
Ganga Valley Express 3032,Kharagpur Junction,Barauni Junction,21:32,571,2049,228,1039
North Bengal Express 3033,Kharagpur Junction,Barauni Junction,23:07,583,2091,233,1060
Kolkata Intercity Express 3034,Kharagpur Junction,Barauni Junction,00:42,595,2132,238,1081
Bihar Bengal Express 3035,Kharagpur Junction,Barauni Junction,02:17,607,2174,243,1102
Sundarban Express 3036,Kharagpur Junction,Barauni Junction,03:52,619,2215,247,1123
Teesta Express 3037,Kharagpur Junction,Barauni Junction,05:27,631,2256,252,1144
Rajdhani Regional Express 3038,Kharagpur Junction,Barauni Junction,07:02,643,2298,256,1166
East Corridor Express 3039,Kharagpur Junction,Barauni Junction,08:37,655,2339,261,1187
Jan Seva Express 3040,Kharagpur Junction,Barauni Junction,10:12,667,2381,266,1208
Eastern India Express 3041,Kharagpur Junction,Katihar Junction,22:47,386,1411,157,712
Ganga Valley Express 3042,Kharagpur Junction,Katihar Junction,00:22,398,1453,161,734
North Bengal Express 3043,Kharagpur Junction,Katihar Junction,01:57,410,1494,166,755
Kolkata Intercity Express 3044,Kharagpur Junction,Katihar Junction,03:32,422,1535,171,776
Bihar Bengal Express 3045,Kharagpur Junction,Katihar Junction,05:07,434,1577,175,798
Sundarban Express 3046,Kharagpur Junction,Katihar Junction,06:42,446,1618,180,818
Teesta Express 3047,Kharagpur Junction,Katihar Junction,08:17,458,1660,185,839
Rajdhani Regional Express 3048,Kharagpur Junction,Katihar Junction,09:52,470,1701,189,861
East Corridor Express 3049,Kharagpur Junction,Katihar Junction,11:27,482,1742,194,882
Jan Seva Express 3050,Kharagpur Junction,Katihar Junction,13:02,494,1784,199,903
Eastern India Express 3051,Kharagpur Junction,Chhapra Junction,01:37,216,825,91,413
Ganga Valley Express 3052,Kharagpur Junction,Chhapra Junction,03:12,228,866,96,434
North Bengal Express 3053,Kharagpur Junction,Chhapra Junction,04:47,240,908,100,456
Kolkata Intercity Express 3054,Kharagpur Junction,Chhapra Junction,06:22,252,949,105,476
Bihar Bengal Express 3055,Kharagpur Junction,Chhapra Junction,07:57,264,990,109,498
Sundarban Express 3056,Kharagpur Junction,Chhapra Junction,09:32,276,1032,114,519
Teesta Express 3057,Kharagpur Junction,Chhapra Junction,11:07,288,1073,119,540
Rajdhani Regional Express 3058,Kharagpur Junction,Chhapra Junction,12:42,300,1115,124,561
East Corridor Express 3059,Kharagpur Junction,Chhapra Junction,14:17,312,1156,128,582
Jan Seva Express 3060,Kharagpur Junction,Chhapra Junction,15:52,324,1197,133,603
Eastern India Express 3061,Kharagpur Junction,Ara Junction,04:23,480,1736,193,879
Ganga Valley Express 3062,Kharagpur Junction,Ara Junction,05:58,492,1777,198,899
North Bengal Express 3063,Kharagpur Junction,Ara Junction,07:33,504,1818,203,920
Kolkata Intercity Express 3064,Kharagpur Junction,Ara Junction,09:08,516,1860,207,942
Bihar Bengal Express 3065,Kharagpur Junction,Ara Junction,10:43,528,1901,212,963
Sundarban Express 3066,Kharagpur Junction,Ara Junction,12:18,540,1943,217,984
Teesta Express 3067,Kharagpur Junction,Ara Junction,13:53,552,1984,221,1005
Rajdhani Regional Express 3068,Kharagpur Junction,Ara Junction,15:28,564,2025,226,1026
East Corridor Express 3069,Kharagpur Junction,Ara Junction,17:03,576,2067,230,1048
Jan Seva Express 3070,Kharagpur Junction,Ara Junction,18:38,588,2108,235,1069
Eastern India Express 3071,Kharagpur Junction,Buxar Junction,07:15,364,1335,148,674
Ganga Valley Express 3072,Kharagpur Junction,Buxar Junction,08:50,376,1377,153,695
North Bengal Express 3073,Kharagpur Junction,Buxar Junction,10:25,388,1418,158,716
Kolkata Intercity Express 3074,Kharagpur Junction,Buxar Junction,12:00,400,1460,162,738
Bihar Bengal Express 3075,Kharagpur Junction,Buxar Junction,13:35,412,1501,167,758
Sundarban Express 3076,Kharagpur Junction,Buxar Junction,15:10,424,1542,171,780
Teesta Express 3077,Kharagpur Junction,Buxar Junction,16:45,436,1584,176,801
Rajdhani Regional Express 3078,Kharagpur Junction,Buxar Junction,18:20,448,1625,181,822
East Corridor Express 3079,Kharagpur Junction,Buxar Junction,19:55,460,1667,186,843
Jan Seva Express 3080,Kharagpur Junction,Buxar Junction,21:30,472,1708,190,864
Eastern India Express 3081,Kharagpur Junction,Hajipur Junction,10:07,389,1422,158,718
Ganga Valley Express 3082,Kharagpur Junction,Hajipur Junction,11:42,401,1463,163,739
North Bengal Express 3083,Kharagpur Junction,Hajipur Junction,13:17,413,1504,167,760
Kolkata Intercity Express 3084,Kharagpur Junction,Hajipur Junction,14:52,425,1546,172,781
Bihar Bengal Express 3085,Kharagpur Junction,Hajipur Junction,16:27,437,1587,177,802
Sundarban Express 3086,Kharagpur Junction,Hajipur Junction,18:02,449,1629,181,824
Teesta Express 3087,Kharagpur Junction,Hajipur Junction,19:37,461,1670,186,845
Rajdhani Regional Express 3088,Kharagpur Junction,Hajipur Junction,21:12,473,1711,190,866
East Corridor Express 3089,Kharagpur Junction,Hajipur Junction,22:47,485,1753,195,887
Jan Seva Express 3090,Kharagpur Junction,Hajipur Junction,00:22,497,1794,200,908
Eastern India Express 3091,Kharagpur Junction,Sonpur Junction,12:56,262,983,109,494
Ganga Valley Express 3092,Kharagpur Junction,Sonpur Junction,14:31,274,1025,113,516
North Bengal Express 3093,Kharagpur Junction,Sonpur Junction,16:06,286,1066,118,536
Kolkata Intercity Express 3094,Kharagpur Junction,Sonpur Junction,17:41,298,1108,123,557
Bihar Bengal Express 3095,Kharagpur Junction,Sonpur Junction,19:16,310,1149,127,579
Sundarban Express 3096,Kharagpur Junction,Sonpur Junction,20:51,322,1190,132,600
Teesta Express 3097,Kharagpur Junction,Sonpur Junction,22:26,334,1232,137,621
Rajdhani Regional Express 3098,Kharagpur Junction,Sonpur Junction,00:01,346,1273,141,642
East Corridor Express 3099,Kharagpur Junction,Sonpur Junction,01:36,358,1315,146,663
Jan Seva Express 3100,Kharagpur Junction,Sonpur Junction,03:11,370,1356,151,684
Eastern India Express 3101,Kharagpur Junction,Saharsa Junction,15:47,393,1435,159,725
Ganga Valley Express 3102,Kharagpur Junction,Saharsa Junction,17:22,405,1477,164,746
North Bengal Express 3103,Kharagpur Junction,Saharsa Junction,18:57,417,1518,169,767
Kolkata Intercity Express 3104,Kharagpur Junction,Saharsa Junction,20:32,429,1560,173,789
Bihar Bengal Express 3105,Kharagpur Junction,Saharsa Junction,22:07,441,1601,178,810
Sundarban Express 3106,Kharagpur Junction,Saharsa Junction,23:42,453,1642,183,830
Teesta Express 3107,Kharagpur Junction,Saharsa Junction,01:17,465,1684,187,852
Rajdhani Regional Express 3108,Kharagpur Junction,Saharsa Junction,02:52,477,1725,192,873
East Corridor Express 3109,Kharagpur Junction,Saharsa Junction,04:27,489,1767,197,894
Jan Seva Express 3110,Kharagpur Junction,Saharsa Junction,06:02,501,1808,201,916
Eastern India Express 3111,Kharagpur Junction,Purnea Junction,18:36,254,956,106,480
Ganga Valley Express 3112,Kharagpur Junction,Purnea Junction,20:11,266,997,110,501
North Bengal Express 3113,Kharagpur Junction,Purnea Junction,21:46,278,1039,115,522
Kolkata Intercity Express 3114,Kharagpur Junction,Purnea Junction,23:21,290,1080,120,543
Bihar Bengal Express 3115,Kharagpur Junction,Purnea Junction,00:56,302,1121,124,565
Sundarban Express 3116,Kharagpur Junction,Purnea Junction,02:31,314,1163,129,586
Teesta Express 3117,Kharagpur Junction,Purnea Junction,04:06,326,1204,133,607
Rajdhani Regional Express 3118,Kharagpur Junction,Purnea Junction,05:41,338,1246,138,628
East Corridor Express 3119,Kharagpur Junction,Purnea Junction,07:16,350,1287,143,649
Jan Seva Express 3120,Kharagpur Junction,Purnea Junction,08:51,362,1328,148,670
Eastern India Express 3121,Kharagpur Junction,Kishanganj,21:21,237,897,99,450
Ganga Valley Express 3122,Kharagpur Junction,Kishanganj,22:56,249,939,104,471
North Bengal Express 3123,Kharagpur Junction,Kishanganj,00:31,261,980,108,493
Kolkata Intercity Express 3124,Kharagpur Junction,Kishanganj,02:06,273,1021,113,513
Bihar Bengal Express 3125,Kharagpur Junction,Kishanganj,03:41,285,1063,118,534
Sundarban Express 3126,Kharagpur Junction,Kishanganj,05:16,297,1104,122,556
Teesta Express 3127,Kharagpur Junction,Kishanganj,06:51,309,1146,127,577
Rajdhani Regional Express 3128,Kharagpur Junction,Kishanganj,08:26,321,1187,132,598
East Corridor Express 3129,Kharagpur Junction,Kishanganj,10:01,333,1228,136,619
Jan Seva Express 3130,Kharagpur Junction,Kishanganj,11:36,345,1270,141,640
Eastern India Express 3131,Kharagpur Junction,Dehri-on-Sone,00:14,505,1822,203,922
Ganga Valley Express 3132,Kharagpur Junction,Dehri-on-Sone,01:49,517,1863,208,943
North Bengal Express 3133,Kharagpur Junction,Dehri-on-Sone,03:24,529,1905,212,965
Kolkata Intercity Express 3134,Kharagpur Junction,Dehri-on-Sone,04:59,541,1946,217,986
Bihar Bengal Express 3135,Kharagpur Junction,Dehri-on-Sone,06:34,553,1987,221,1007
Sundarban Express 3136,Kharagpur Junction,Dehri-on-Sone,08:09,565,2029,226,1028
Teesta Express 3137,Kharagpur Junction,Dehri-on-Sone,09:44,577,2070,231,1049
