name,from,to,departure,fare_sitting,fare_sleeper
Royal Roadways 11814,Shalimar,Motihari (Bapudham Motihari),23:12,134,247
CityLink Travels 11815,Shalimar,Motihari (Bapudham Motihari),01:45,144,263
Eastern Star Travels 11816,Shalimar,Bettiah,17:28,331,553
North Bengal Express Bus 11817,Shalimar,Bettiah,20:01,341,568
GreenLine Travels 11818,Shalimar,Bettiah,22:34,351,584
Royal Roadways 11819,Shalimar,Bettiah,01:07,361,599
CityLink Travels 11820,Shalimar,Bettiah,03:40,371,615
Eastern Star Travels 11821,Shalimar,Raxaul Junction,19:23,329,549
North Bengal Express Bus 11822,Shalimar,Raxaul Junction,21:56,339,565
GreenLine Travels 11823,Shalimar,Raxaul Junction,00:29,349,580
Royal Roadways 11824,Shalimar,Raxaul Junction,03:02,359,596
CityLink Travels 11825,Shalimar,Raxaul Junction,05:35,369,611
Eastern Star Travels 11826,Shalimar,Siwan Junction,21:18,217,376
North Bengal Express Bus 11827,Shalimar,Siwan Junction,23:51,227,391
GreenLine Travels 11828,Shalimar,Siwan Junction,02:24,237,407
Royal Roadways 11829,Shalimar,Siwan Junction,04:57,247,422
CityLink Travels 11830,Shalimar,Siwan Junction,07:30,257,438
Eastern Star Travels 11831,Shalimar,Begusarai,23:13,148,269
North Bengal Express Bus 11832,Shalimar,Begusarai,01:46,158,284
GreenLine Travels 11833,Shalimar,Begusarai,04:19,168,300
Royal Roadways 11834,Shalimar,Begusarai,06:52,178,315
CityLink Travels 11835,Shalimar,Begusarai,09:25,188,331
Eastern Star Travels 11836,Shalimar,Khagaria Junction,01:08,259,441
North Bengal Express Bus 11837,Shalimar,Khagaria Junction,03:41,269,456
GreenLine Travels 11838,Shalimar,Khagaria Junction,06:14,279,472
Royal Roadways 11839,Shalimar,Khagaria Junction,08:47,289,487
CityLink Travels 11840,Shalimar,Khagaria Junction,11:20,299,503
Eastern Star Travels 11841,Shalimar,Jamalpur Junction,03:03,203,354
North Bengal Express Bus 11842,Shalimar,Jamalpur Junction,05:36,213,370
GreenLine Travels 11843,Shalimar,Jamalpur Junction,08:09,223,385
Royal Roadways 11844,Shalimar,Jamalpur Junction,10:42,233,401
CityLink Travels 11845,Shalimar,Jamalpur Junction,13:15,243,416
Eastern Star Travels 11846,Shalimar,Nawada,04:58,253,432
North Bengal Express Bus 11847,Shalimar,Nawada,07:31,263,447
GreenLine Travels 11848,Shalimar,Nawada,10:04,273,463
Royal Roadways 11849,Shalimar,Nawada,12:37,283,478
CityLink Travels 11850,Shalimar,Nawada,15:10,293,494
Eastern Star Travels 11851,Shalimar,Jehanabad,06:53,311,522
North Bengal Express Bus 11852,Shalimar,Jehanabad,09:26,321,537
GreenLine Travels 11853,Shalimar,Jehanabad,11:59,331,553
Royal Roadways 11854,Shalimar,Jehanabad,14:32,341,568
CityLink Travels 11855,Shalimar,Jehanabad,17:05,351,584
Eastern Star Travels 11856,Shalimar,Jaynagar,08:48,196,343
North Bengal Express Bus 11857,Shalimar,Jaynagar,11:21,206,359
GreenLine Travels 11858,Shalimar,Jaynagar,13:54,216,374
Royal Roadways 11859,Shalimar,Jaynagar,16:27,226,390
CityLink Travels 11860,Shalimar,Jaynagar,19:00,236,405
Eastern Star Travels 11861,Shalimar,Narkatiaganj Junction,10:43,129,239
North Bengal Express Bus 11862,Shalimar,Narkatiaganj Junction,13:16,139,255
GreenLine Travels 11863,Shalimar,Narkatiaganj Junction,15:49,149,270
Royal Roadways 11864,Shalimar,Narkatiaganj Junction,18:22,159,286
CityLink Travels 11865,Shalimar,Narkatiaganj Junction,20:55,169,301
Eastern Star Travels 11866,Shalimar,Ranchi Junction,12:38,347,577
North Bengal Express Bus 11867,Shalimar,Ranchi Junction,15:11,357,593
GreenLine Travels 11868,Shalimar,Ranchi Junction,17:44,367,608
Royal Roadways 11869,Shalimar,Ranchi Junction,20:17,377,624
CityLink Travels 11870,Shalimar,Ranchi Junction,22:50,387,639
Eastern Star Travels 11871,Shalimar,Dhanbad Junction,14:33,284,480
North Bengal Express Bus 11872,Shalimar,Dhanbad Junction,17:06,294,495
GreenLine Travels 11873,Shalimar,Dhanbad Junction,19:39,304,511
Royal Roadways 11874,Shalimar,Dhanbad Junction,22:12,314,526
CityLink Travels 11875,Shalimar,Dhanbad Junction,00:45,324,542
Eastern Star Travels 11876,Shalimar,Tatanagar Junction (Jamshedpur),16:28,167,298
North Bengal Express Bus 11877,Shalimar,Tatanagar Junction (Jamshedpur),19:01,177,314
GreenLine Travels 11878,Shalimar,Tatanagar Junction (Jamshedpur),21:34,187,329
Royal Roadways 11879,Shalimar,Tatanagar Junction (Jamshedpur),00:07,197,345
CityLink Travels 11880,Shalimar,Tatanagar Junction (Jamshedpur),02:40,207,360
Eastern Star Travels 11881,Shalimar,Bokaro Steel City,18:23,126,235
North Bengal Express Bus 11882,Shalimar,Bokaro Steel City,20:56,136,250
GreenLine Travels 11883,Shalimar,Bokaro Steel City,23:29,146,266
Royal Roadways 11884,Shalimar,Bokaro Steel City,02:02,156,281
CityLink Travels 11885,Shalimar,Bokaro Steel City,04:35,166,297
Eastern Star Travels 11886,Shalimar,Jasidih Junction,20:18,269,456
North Bengal Express Bus 11887,Shalimar,Jasidih Junction,22:51,279,472
GreenLine Travels 11888,Shalimar,Jasidih Junction,01:24,289,487
Royal Roadways 11889,Shalimar,Jasidih Junction,03:57,299,503
CityLink Travels 11890,Shalimar,Jasidih Junction,06:30,309,518
Eastern Star Travels 11891,Shalimar,Madhupur Junction,22:13,286,483
North Bengal Express Bus 11892,Shalimar,Madhupur Junction,00:46,296,498
GreenLine Travels 11893,Shalimar,Madhupur Junction,03:19,306,514
Royal Roadways 11894,Shalimar,Madhupur Junction,05:52,316,529
CityLink Travels 11895,Shalimar,Madhupur Junction,08:25,326,545
Eastern Star Travels 11896,Shalimar,Koderma Junction,00:08,199,348
North Bengal Express Bus 11897,Shalimar,Koderma Junction,02:41,209,363
GreenLine Travels 11898,Shalimar,Koderma Junction,05:14,219,379
Royal Roadways 11899,Shalimar,Koderma Junction,07:47,229,394
CityLink Travels 11900,Shalimar,Koderma Junction,10:20,239,410
Eastern Star Travels 11901,Shalimar,Deoghar Junction,02:03,290,489
North Bengal Express Bus 11902,Shalimar,Deoghar Junction,04:36,300,505
GreenLine Travels 11903,Shalimar,Deoghar Junction,07:09,310,520
Royal Roadways 11904,Shalimar,Deoghar Junction,09:42,320,536
CityLink Travels 11905,Shalimar,Deoghar Junction,12:15,330,551
Eastern Star Travels 11906,Shalimar,Hatia,03:58,193,339
North Bengal Express Bus 11907,Shalimar,Hatia,06:31,203,354
GreenLine Travels 11908,Shalimar,Hatia,09:04,213,370
Royal Roadways 11909,Shalimar,Hatia,11:37,223,385
CityLink Travels 11910,Shalimar,Hatia,14:10,233,401
Eastern Star Travels 11911,Shalimar,Barkakana Junction,05:53,181,320
North Bengal Express Bus 11912,Shalimar,Barkakana Junction,08:26,191,336
GreenLine Travels 11913,Shalimar,Barkakana Junction,10:59,201,351
Royal Roadways 11914,Shalimar,Barkakana Junction,13:32,211,367
CityLink Travels 11915,Shalimar,Barkakana Junction,16:05,221,382
Eastern Star Travels 11916,Shalimar,Daltonganj,07:48,366,607
North Bengal Express Bus 11917,Shalimar,Daltonganj,10:21,376,622
GreenLine Travels 11918,Shalimar,Daltonganj,12:54,386,638
Royal Roadways 11919,Shalimar,Daltonganj,15:27,396,653
CityLink Travels 11920,Shalimar,Daltonganj,18:00,406,669
Eastern Star Travels 11921,Shalimar,Chandrapura Junction,09:43,247,422
North Bengal Express Bus 11922,Shalimar,Chandrapura Junction,12:16,257,438
GreenLine Travels 11923,Shalimar,Chandrapura Junction,14:49,267,453
Royal Roadways 11924,Shalimar,Chandrapura Junction,17:22,277,469
CityLink Travels 11925,Shalimar,Chandrapura Junction,19:55,287,484
Eastern Star Travels 11926,Shalimar,Gomoh Junction (NSCB Gomoh),11:38,128,238
North Bengal Express Bus 11927,Shalimar,Gomoh Junction (NSCB Gomoh),14:11,138,253
GreenLine Travels 11928,Shalimar,Gomoh Junction (NSCB Gomoh),16:44,148,269
Royal Roadways 11929,Shalimar,Gomoh Junction (NSCB Gomoh),19:17,158,284
CityLink Travels 11930,Shalimar,Gomoh Junction (NSCB Gomoh),21:50,168,300
Eastern Star Travels 11931,Shalimar,Sahibganj Junction,13:33,154,278
North Bengal Express Bus 11932,Shalimar,Sahibganj Junction,16:06,164,294
GreenLine Travels 11933,Shalimar,Sahibganj Junction,18:39,174,309
Royal Roadways 11934,Shalimar,Sahibganj Junction,21:12,184,325
CityLink Travels 11935,Shalimar,Sahibganj Junction,23:45,194,340
Eastern Star Travels 11936,Shalimar,Dumka,15:28,350,582
North Bengal Express Bus 11937,Shalimar,Dumka,18:01,360,598
GreenLine Travels 11938,Shalimar,Dumka,20:34,370,613
Royal Roadways 11939,Shalimar,Dumka,23:07,380,629
CityLink Travels 11940,Shalimar,Dumka,01:40,390,644
Eastern Star Travels 11941,Shalimar,Garhwa Road Junction,17:23,235,404
North Bengal Express Bus 11942,Shalimar,Garhwa Road Junction,19:56,245,419
GreenLine Travels 11943,Shalimar,Garhwa Road Junction,22:29,255,435
Royal Roadways 11944,Shalimar,Garhwa Road Junction,01:02,265,450
CityLink Travels 11945,Shalimar,Garhwa Road Junction,03:35,275,466
Eastern Star Travels 11946,Shalimar,Ramgarh Cantt,19:18,146,266
North Bengal Express Bus 11947,Shalimar,Ramgarh Cantt,21:51,156,281
GreenLine Travels 11948,Shalimar,Ramgarh Cantt,00:24,166,297
Royal Roadways 11949,Shalimar,Ramgarh Cantt,02:57,176,312
CityLink Travels 11950,Shalimar,Ramgarh Cantt,05:30,186,328
Eastern Star Travels 11951,Shalimar,Chakradharpur,21:13,281,475
North Bengal Express Bus 11952,Shalimar,Chakradharpur,23:46,291,491
GreenLine Travels 11953,Shalimar,Chakradharpur,02:19,301,506
Royal Roadways 11954,Shalimar,Chakradharpur,04:52,311,522
CityLink Travels 11955,Shalimar,Chakradharpur,07:25,321,537
Eastern Star Travels 11956,Shalimar,Ghatsila,23:08,214,371
North Bengal Express Bus 11957,Shalimar,Ghatsila,01:41,224,387
GreenLine Travels 11958,Shalimar,Ghatsila,04:14,234,402
Royal Roadways 11959,Shalimar,Ghatsila,06:47,244,418
CityLink Travels 11960,Shalimar,Ghatsila,09:20,254,433
Eastern Star Travels 11961,Shalimar,Pakur,01:03,262,446
North Bengal Express Bus 11962,Shalimar,Pakur,03:36,272,461
GreenLine Travels 11963,Shalimar,Pakur,06:09,282,477
Royal Roadways 11964,Shalimar,Pakur,08:42,292,492
CityLink Travels 11965,Shalimar,Pakur,11:15,302,508
Eastern Star Travels 11966,Shalimar,Hazaribagh Town,02:58,335,559
North Bengal Express Bus 11967,Shalimar,Hazaribagh Town,05:31,345,574
GreenLine Travels 11968,Shalimar,Hazaribagh Town,08:04,355,590
Royal Roadways 11969,Shalimar,Hazaribagh Town,10:37,365,605
CityLink Travels 11970,Shalimar,Hazaribagh Town,13:10,375,621
Eastern Star Travels 11971,Shalimar,Latehar,04:53,220,381
North Bengal Express Bus 11972,Shalimar,Latehar,07:26,230,396
GreenLine Travels 11973,Shalimar,Latehar,09:59,240,412
Royal Roadways 11974,Shalimar,Latehar,12:32,250,427
CityLink Travels 11975,Shalimar,Latehar,15:05,260,443
Eastern Star Travels 11976,Shalimar,Lohardaga,06:48,135,249
North Bengal Express Bus 11977,Shalimar,Lohardaga,09:21,145,264
GreenLine Travels 11978,Shalimar,Lohardaga,11:54,155,280
Royal Roadways 11979,Shalimar,Lohardaga,14:27,165,295
CityLink Travels 11980,Shalimar,Lohardaga,17:00,175,311
Eastern Star Travels 11981,Shalimar,Chaibasa,08:43,364,604
North Bengal Express Bus 11982,Shalimar,Chaibasa,11:16,374,619
GreenLine Travels 11983,Shalimar,Chaibasa,13:49,384,635
Royal Roadways 11984,Shalimar,Chaibasa,16:22,394,650
CityLink Travels 11985,Shalimar,Chaibasa,18:55,404,666
Eastern Star Travels 11986,Shalimar,Giridih,10:38,307,515
North Bengal Express Bus 11987,Shalimar,Giridih,13:11,317,531
GreenLine Travels 11988,Shalimar,Giridih,15:44,327,546
Royal Roadways 11989,Shalimar,Giridih,18:17,337,562
CityLink Travels 11990,Shalimar,Giridih,20:50,347,577
Eastern Star Travels 11991,Shalimar,Khastri (Netaji Subhash Chandra Bose Gomoh),12:33,188,331
North Bengal Express Bus 11992,Shalimar,Khastri (Netaji Subhash Chandra Bose Gomoh),15:06,198,346
GreenLine Travels 11993,Shalimar,Khastri (Netaji Subhash Chandra Bose Gomoh),17:39,208,362
Royal Roadways 11994,Shalimar,Khastri (Netaji Subhash Chandra Bose Gomoh),20:12,218,377
CityLink Travels 11995,Shalimar,Khastri (Netaji Subhash Chandra Bose Gomoh),22:45,228,393
Eastern Star Travels 11996,Shalimar,Parasnath,14:28,105,202
North Bengal Express Bus 11997,Shalimar,Parasnath,17:01,115,218
GreenLine Travels 11998,Shalimar,Parasnath,19:34,125,233
Royal Roadways 11999,Shalimar,Parasnath,22:07,135,249
CityLink Travels 12000,Shalimar,Parasnath,00:40,145,264
Eastern Star Travels 12001,Shalimar,Kumardhubi,16:23,287,484
North Bengal Express Bus 12002,Shalimar,Kumardhubi,18:56,297,500
GreenLine Travels 12003,Shalimar,Kumardhubi,21:29,307,515
Royal Roadways 12004,Shalimar,Kumardhubi,00:02,317,531
CityLink Travels 12005,Shalimar,Kumardhubi,02:35,327,546
Eastern Star Travels 12006,Shalimar,Godda,18:18,304,511
North Bengal Express Bus 12007,Shalimar,Godda,20:51,314,526
GreenLine Travels 12008,Shalimar,Godda,23:24,324,542
Royal Roadways 12009,Shalimar,Godda,01:57,334,557
CityLink Travels 12010,Shalimar,Godda,04:30,344,573
Eastern Star Travels 12011,Shalimar,Barharwa Junction,20:13,207,360
North Bengal Express Bus 12012,Shalimar,Barharwa Junction,22:46,217,376
GreenLine Travels 12013,Shalimar,Barharwa Junction,01:19,227,391
Royal Roadways 12014,Shalimar,Barharwa Junction,03:52,237,407
CityLink Travels 12015,Shalimar,Barharwa Junction,06:25,247,422
Eastern Star Travels 12016,Midnapore,Howrah Junction,22:08,366,607
North Bengal Express Bus 12017,Midnapore,Howrah Junction,00:41,376,622
GreenLine Travels 12018,Midnapore,Howrah Junction,03:14,386,638
Royal Roadways 12019,Midnapore,Howrah Junction,05:47,396,653
CityLink Travels 12020,Midnapore,Howrah Junction,08:20,406,669
Eastern Star Travels 12021,Midnapore,Kolkata Sealdah,00:03,296,498
North Bengal Express Bus 12022,Midnapore,Kolkata Sealdah,02:36,306,514
GreenLine Travels 12023,Midnapore,Kolkata Sealdah,05:09,316,529
Royal Roadways 12024,Midnapore,Kolkata Sealdah,07:42,326,545
CityLink Travels 12025,Midnapore,Kolkata Sealdah,10:15,336,560
Eastern Star Travels 12026,Midnapore,Asansol Junction,01:58,281,475
North Bengal Express Bus 12027,Midnapore,Asansol Junction,04:31,291,491
GreenLine Travels 12028,Midnapore,Asansol Junction,07:04,301,506
Royal Roadways 12029,Midnapore,Asansol Junction,09:37,311,522
CityLink Travels 12030,Midnapore,Asansol Junction,12:10,321,537
Eastern Star Travels 12031,Midnapore,Kharagpur Junction,03:53,331,553
North Bengal Express Bus 12032,Midnapore,Kharagpur Junction,06:26,341,568
GreenLine Travels 12033,Midnapore,Kharagpur Junction,08:59,351,584
Royal Roadways 12034,Midnapore,Kharagpur Junction,11:32,361,599
CityLink Travels 12035,Midnapore,Kharagpur Junction,14:05,371,615
Eastern Star Travels 12036,Midnapore,New Jalpaiguri Junction,05:48,104,201
North Bengal Express Bus 12037,Midnapore,New Jalpaiguri Junction,08:21,114,216
GreenLine Travels 12038,Midnapore,New Jalpaiguri Junction,10:54,124,232
Royal Roadways 12039,Midnapore,New Jalpaiguri Junction,13:27,134,247
CityLink Travels 12040,Midnapore,New Jalpaiguri Junction,16:00,144,263
Eastern Star Travels 12041,Midnapore,Durgapur,07:43,361,599
North Bengal Express Bus 12042,Midnapore,Durgapur,10:16,371,615
GreenLine Travels 12043,Midnapore,Durgapur,12:49,381,630
Royal Roadways 12044,Midnapore,Durgapur,15:22,391,646
CityLink Travels 12045,Midnapore,Durgapur,17:55,401,661
Eastern Star Travels 12046,Midnapore,Malda Town,09:38,360,598
North Bengal Express Bus 12047,Midnapore,Malda Town,12:11,370,613
GreenLine Travels 12048,Midnapore,Malda Town,14:44,380,629
Royal Roadways 12049,Midnapore,Malda Town,17:17,390,644
CityLink Travels 12050,Midnapore,Malda Town,19:50,400,660
Eastern Star Travels 12051,Midnapore,Burdwan Junction,11:33,189,332
North Bengal Express Bus 12052,Midnapore,Burdwan Junction,14:06,199,348
GreenLine Travels 12053,Midnapore,Burdwan Junction,16:39,209,363
Royal Roadways 12054,Midnapore,Burdwan Junction,19:12,219,379
CityLink Travels 12055,Midnapore,Burdwan Junction,21:45,229,394
Eastern Star Travels 12056,Midnapore,Santragachi Junction,13:28,174,309
North Bengal Express Bus 12057,Midnapore,Santragachi Junction,16:01,184,325
GreenLine Travels 12058,Midnapore,Santragachi Junction,18:34,194,340
Royal Roadways 12059,Midnapore,Santragachi Junction,21:07,204,356
CityLink Travels 12060,Midnapore,Santragachi Junction,23:40,214,371
Eastern Star Travels 12061,Midnapore,New Cooch Behar,15:23,266,452
North Bengal Express Bus 12062,Midnapore,New Cooch Behar,17:56,276,467
GreenLine Travels 12063,Midnapore,New Cooch Behar,20:29,286,483
Royal Roadways 12064,Midnapore,New Cooch Behar,23:02,296,498
CityLink Travels 12065,Midnapore,New Cooch Behar,01:35,306,514
Eastern Star Travels 12066,Midnapore,Rampurhat Junction,17:18,311,522
North Bengal Express Bus 12067,Midnapore,Rampurhat Junction,19:51,321,537
GreenLine Travels 12068,Midnapore,Rampurhat Junction,22:24,331,553
Royal Roadways 12069,Midnapore,Rampurhat Junction,00:57,341,568
CityLink Travels 12070,Midnapore,Rampurhat Junction,03:30,351,584
Eastern Star Travels 12071,Midnapore,Bandel Junction,19:13,245,419
North Bengal Express Bus 12072,Midnapore,Bandel Junction,21:46,255,435
GreenLine Travels 12073,Midnapore,Bandel Junction,00:19,265,450
Royal Roadways 12074,Midnapore,Bandel Junction,02:52,275,466
CityLink Travels 12075,Midnapore,Bandel Junction,05:25,285,481
Eastern Star Travels 12076,Midnapore,Kolkata Railway Station,21:08,252,430
North Bengal Express Bus 12077,Midnapore,Kolkata Railway Station,23:41,262,446
GreenLine Travels 12078,Midnapore,Kolkata Railway Station,02:14,272,461
Royal Roadways 12079,Midnapore,Kolkata Railway Station,04:47,282,477
CityLink Travels 12080,Midnapore,Kolkata Railway Station,07:20,292,492
Eastern Star Travels 12081,Midnapore,Adra Junction,23:03,327,546
North Bengal Express Bus 12082,Midnapore,Adra Junction,01:36,337,562
GreenLine Travels 12083,Midnapore,Adra Junction,04:09,347,577
Royal Roadways 12084,Midnapore,Adra Junction,06:42,357,593
CityLink Travels 12085,Midnapore,Adra Junction,09:15,367,608
Eastern Star Travels 12086,Midnapore,Bolpur Shantiniketan,00:58,355,590
North Bengal Express Bus 12087,Midnapore,Bolpur Shantiniketan,03:31,365,605
GreenLine Travels 12088,Midnapore,Bolpur Shantiniketan,06:04,375,621
Royal Roadways 12089,Midnapore,Bolpur Shantiniketan,08:37,385,636
CityLink Travels 12090,Midnapore,Bolpur Shantiniketan,11:10,395,652
Eastern Star Travels 12091,Midnapore,Bankura Junction,02:53,314,526
North Bengal Express Bus 12092,Midnapore,Bankura Junction,05:26,324,542
GreenLine Travels 12093,Midnapore,Bankura Junction,07:59,334,557
Royal Roadways 12094,Midnapore,Bankura Junction,10:32,344,573
CityLink Travels 12095,Midnapore,Bankura Junction,13:05,354,588
Eastern Star Travels 12096,Midnapore,Katwa Junction,04:48,331,553
North Bengal Express Bus 12097,Midnapore,Katwa Junction,07:21,341,568
GreenLine Travels 12098,Midnapore,Katwa Junction,09:54,351,584
Royal Roadways 12099,Midnapore,Katwa Junction,12:27,361,599
CityLink Travels 12100,Midnapore,Katwa Junction,15:00,371,615
Eastern Star Travels 12101,Midnapore,Hijli,06:43,134,247
North Bengal Express Bus 12102,Midnapore,Hijli,09:16,144,263
GreenLine Travels 12103,Midnapore,Hijli,11:49,154,278
Royal Roadways 12104,Midnapore,Hijli,14:22,164,294
CityLink Travels 12105,Midnapore,Hijli,16:55,174,309
Eastern Star Travels 12106,Midnapore,Purulia Junction,08:38,173,308
North Bengal Express Bus 12107,Midnapore,Purulia Junction,11:11,183,323
GreenLine Travels 12108,Midnapore,Purulia Junction,13:44,193,339
Royal Roadways 12109,Midnapore,Purulia Junction,16:17,203,354
CityLink Travels 12110,Midnapore,Purulia Junction,18:50,213,370
Eastern Star Travels 12111,Midnapore,Dankuni Junction,10:33,388,641
North Bengal Express Bus 12112,Midnapore,Dankuni Junction,13:06,398,656
GreenLine Travels 12113,Midnapore,Dankuni Junction,15:39,408,672
Royal Roadways 12114,Midnapore,Dankuni Junction,18:12,418,687
CityLink Travels 12115,Midnapore,Dankuni Junction,20:45,428,703
Eastern Star Travels 12116,Midnapore,Chittaranjan,12:28,256,436
North Bengal Express Bus 12117,Midnapore,Chittaranjan,15:01,266,452
GreenLine Travels 12118,Midnapore,Chittaranjan,17:34,276,467
Royal Roadways 12119,Midnapore,Chittaranjan,20:07,286,483
CityLink Travels 12120,Midnapore,Chittaranjan,22:40,296,498
Eastern Star Travels 12121,Midnapore,Siliguri Junction,14:23,197,345
North Bengal Express Bus 12122,Midnapore,Siliguri Junction,16:56,207,360
GreenLine Travels 12123,Midnapore,Siliguri Junction,19:29,217,376
Royal Roadways 12124,Midnapore,Siliguri Junction,22:02,227,391
CityLink Travels 12125,Midnapore,Siliguri Junction,00:35,237,407
Eastern Star Travels 12126,Midnapore,Ranaghat Junction,16:18,238,408
North Bengal Express Bus 12127,Midnapore,Ranaghat Junction,18:51,248,424
GreenLine Travels 12128,Midnapore,Ranaghat Junction,21:24,258,439
Royal Roadways 12129,Midnapore,Ranaghat Junction,23:57,268,455
CityLink Travels 12130,Midnapore,Ranaghat Junction,02:30,278,470
Eastern Star Travels 12131,Midnapore,Andal Junction,18:13,335,559
North Bengal Express Bus 12132,Midnapore,Andal Junction,20:46,345,574
GreenLine Travels 12133,Midnapore,Andal Junction,23:19,355,590
Royal Roadways 12134,Midnapore,Andal Junction,01:52,365,605
CityLink Travels 12135,Midnapore,Andal Junction,04:25,375,621
Eastern Star Travels 12136,Midnapore,Krishnanagar City Junction,20:08,301,506
North Bengal Express Bus 12137,Midnapore,Krishnanagar City Junction,22:41,311,522
GreenLine Travels 12138,Midnapore,Krishnanagar City Junction,01:14,321,537
Royal Roadways 12139,Midnapore,Krishnanagar City Junction,03:47,331,553
CityLink Travels 12140,Midnapore,Krishnanagar City Junction,06:20,341,568
Eastern Star Travels 12141,Midnapore,Digha,22:03,272,461
North Bengal Express Bus 12142,Midnapore,Digha,00:36,282,477
GreenLine Travels 12143,Midnapore,Digha,03:09,292,492
Royal Roadways 12144,Midnapore,Digha,05:42,302,508
CityLink Travels 12145,Midnapore,Digha,08:15,312,523
Eastern Star Travels 12146,Midnapore,Shalimar,23:58,312,523
North Bengal Express Bus 12147,Midnapore,Shalimar,02:31,322,539
GreenLine Travels 12148,Midnapore,Shalimar,05:04,332,554
Royal Roadways 12149,Midnapore,Shalimar,07:37,342,570
CityLink Travels 12150,Midnapore,Shalimar,10:10,352,585
Eastern Star Travels 12151,Midnapore,Berhampore Court,01:53,361,599
North Bengal Express Bus 12152,Midnapore,Berhampore Court,04:26,371,615
GreenLine Travels 12153,Midnapore,Berhampore Court,06:59,381,630
Royal Roadways 12154,Midnapore,Berhampore Court,09:32,391,646
CityLink Travels 12155,Midnapore,Berhampore Court,12:05,401,661
Eastern Star Travels 12156,Midnapore,Naihati Junction,03:48,350,582
North Bengal Express Bus 12157,Midnapore,Naihati Junction,06:21,360,598
GreenLine Travels 12158,Midnapore,Naihati Junction,08:54,370,613
Royal Roadways 12159,Midnapore,Naihati Junction,11:27,380,629
CityLink Travels 12160,Midnapore,Naihati Junction,14:00,390,644
Eastern Star Travels 12161,Midnapore,Patna Junction,05:43,202,353
North Bengal Express Bus 12162,Midnapore,Patna Junction,08:16,212,368
GreenLine Travels 12163,Midnapore,Patna Junction,10:49,222,384
Royal Roadways 12164,Midnapore,Patna Junction,13:22,232,399
CityLink Travels 12165,Midnapore,Patna Junction,15:55,242,415
Eastern Star Travels 12166,Midnapore,Danapur,07:38,159,286
North Bengal Express Bus 12167,Midnapore,Danapur,10:11,169,301
GreenLine Travels 12168,Midnapore,Danapur,12:44,179,317
Royal Roadways 12169,Midnapore,Danapur,15:17,189,332
CityLink Travels 12170,Midnapore,Danapur,17:50,199,348
Eastern Star Travels 12171,Midnapore,Muzaffarpur Junction,09:33,242,415
North Bengal Express Bus 12172,Midnapore,Muzaffarpur Junction,12:06,252,430
GreenLine Travels 12173,Midnapore,Muzaffarpur Junction,14:39,262,446
Royal Roadways 12174,Midnapore,Muzaffarpur Junction,17:12,272,461
CityLink Travels 12175,Midnapore,Muzaffarpur Junction,19:45,282,477
Eastern Star Travels 12176,Midnapore,Gaya Junction,11:28,428,703
North Bengal Express Bus 12177,Midnapore,Gaya Junction,14:01,438,718
GreenLine Travels 12178,Midnapore,Gaya Junction,16:34,448,734
Royal Roadways 12179,Midnapore,Gaya Junction,19:07,458,749
CityLink Travels 12180,Midnapore,Gaya Junction,21:40,468,765
Eastern Star Travels 12181,Midnapore,Bhagalpur Junction,13:23,247,422
North Bengal Express Bus 12182,Midnapore,Bhagalpur Junction,15:56,257,438
GreenLine Travels 12183,Midnapore,Bhagalpur Junction,18:29,267,453
Royal Roadways 12184,Midnapore,Bhagalpur Junction,21:02,277,469
CityLink Travels 12185,Midnapore,Bhagalpur Junction,23:35,287,484
Eastern Star Travels 12186,Midnapore,Darbhanga Junction,15:18,238,408
North Bengal Express Bus 12187,Midnapore,Darbhanga Junction,17:51,248,424
GreenLine Travels 12188,Midnapore,Darbhanga Junction,20:24,258,439
Royal Roadways 12189,Midnapore,Darbhanga Junction,22:57,268,455
CityLink Travels 12190,Midnapore,Darbhanga Junction,01:30,278,470
Eastern Star Travels 12191,Midnapore,Samastipur Junction,17:13,305,512
North Bengal Express Bus 12192,Midnapore,Samastipur Junction,19:46,315,528
GreenLine Travels 12193,Midnapore,Samastipur Junction,22:19,325,543
Royal Roadways 12194,Midnapore,Samastipur Junction,00:52,335,559
CityLink Travels 12195,Midnapore,Samastipur Junction,03:25,345,574
Eastern Star Travels 12196,Midnapore,Barauni Junction,19:08,362,601
North Bengal Express Bus 12197,Midnapore,Barauni Junction,21:41,372,616
GreenLine Travels 12198,Midnapore,Barauni Junction,00:14,382,632
Royal Roadways 12199,Midnapore,Barauni Junction,02:47,392,647
CityLink Travels 12200,Midnapore,Barauni Junction,05:20,402,663
Eastern Star Travels 12201,Midnapore,Katihar Junction,21:03,311,522
North Bengal Express Bus 12202,Midnapore,Katihar Junction,23:36,321,537
GreenLine Travels 12203,Midnapore,Katihar Junction,02:09,331,553
Royal Roadways 12204,Midnapore,Katihar Junction,04:42,341,568
CityLink Travels 12205,Midnapore,Katihar Junction,07:15,351,584
Eastern Star Travels 12206,Midnapore,Chhapra Junction,22:58,317,531
North Bengal Express Bus 12207,Midnapore,Chhapra Junction,01:31,327,546
GreenLine Travels 12208,Midnapore,Chhapra Junction,04:04,337,562
Royal Roadways 12209,Midnapore,Chhapra Junction,06:37,347,577
CityLink Travels 12210,Midnapore,Chhapra Junction,09:10,357,593
Eastern Star Travels 12211,Midnapore,Ara Junction,00:53,148,269
North Bengal Express Bus 12212,Midnapore,Ara Junction,03:26,158,284
